Name,Email,Phone,Age,Income Range,Employment Status,Amount Owed,Type of Debt,Delinquency Status,Transcripts,Sentiment Labels,Payment History,Financial Hardship Indicator,Communication Preference,Formality Level
Fred Menke,fredmenke@example.com,335.655.6391,41,0-25000,Unemployed,187093.91,Credit Card,Defaulted,Edge always unit beat visit by local.; Image ten relationship nothing hear may become.; Thousand record manager political property have.; Today perform sing thought marriage energy.; Vote education until manager.,Neutral; Positive; Negative; Negative; Positive,"1249.77, 2022-08-20, Full Payment; 1078.54, 2022-10-29, Full Payment; 1703.4, 2021-08-19, Full Payment; 89.66, 2023-05-05, Partial Payment; 3531.27, 2023-06-22, Minimum Payment; 608.46, 2023-09-27, Minimum Payment; 1006.04, 2022-01-25, Partial Payment; 1180.05, 2023-08-31, Minimum Payment; 2373.5, 2023-04-08, Full Payment; 2869.42, 2023-08-11, Minimum Payment; 2291.71, 2022-08-03, Minimum Payment; 2510.56, 2021-06-15, Full Payment; 4812.33, 2022-04-05, Minimum Payment; 2948.76, 2021-07-03, Partial Payment; 4429.57, 2022-01-25, Partial Payment; 2985.47, 2024-03-29, Full Payment; 1958.22, 2023-06-30, Full Payment; 3948.11, 2022-04-22, Full Payment; 692.45, 2022-01-27, Minimum Payment","Divorce, Bankruptcy, Unemployment",Text,Formal
Susan Garcia,susangarcia@example.com,906-637-1162x95397,63,150000+,Unemployed,114225.68,Student Loan,In Arrears,Image pressure laugh president I.; Sea consider deep put.; Three against their spring same practice.; Fight section on indeed yes.; Population article miss war majority prevent expect.; Board you area enjoy election small better.,Negative; Positive; Negative; Negative; Positive; Negative,"2101.56, 2024-01-16, Minimum Payment; 2882.71, 2021-07-13, Partial Payment; 1284.44, 2023-09-22, Full Payment; 3486.83, 2023-04-26, Full Payment; 3001.23, 2023-11-25, Minimum Payment; 3356.67, 2021-10-11, Full Payment; 1548.32, 2022-12-18, Partial Payment",,Mail,Formal
Ty Green,tygreen@example.com,218-727-8415x1334,50,25000-50000,Self-Employed,127998.45,Medical Bills,Defaulted,Stock win by leg make.; Nor deal test throughout boy.,Negative; Neutral,"2678.04, 2021-11-07, Minimum Payment; 3535.06, 2021-10-12, Full Payment; 1912.56, 2024-01-05, Partial Payment","Divorce, Foreclosure, Bankruptcy, Unemployment",Text,Formal
Peter Hosea,peterhosea@example.com,001-770-980-3488x388,59,100000-150000,Unemployed,12308.21,Auto Loan,In Arrears,Space threat paper try attack then.; Institution such without drop collection soon.; Whose quality boy top keep job.,Neutral; Negative; Negative,"2817.23, 2022-01-24, Minimum Payment; 209.49, 2023-06-22, Partial Payment; 1736.88, 2022-02-28, Minimum Payment; 496.11, 2022-12-18, Minimum Payment; 1202.7, 2021-11-01, Minimum Payment; 2596.81, 2021-11-06, Full Payment; 1766.07, 2023-11-07, Partial Payment; 3958.2, 2022-11-12, Minimum Payment; 1461.89, 2021-11-24, Partial Payment; 3879.13, 2023-07-14, Minimum Payment; 871.39, 2023-05-07, Full Payment","Unemployment, Bankruptcy, Divorce",Mail,Casual
Priscilla Pinkleton,priscillapinkleton@example.com,433.897.5575x93973,61,0-25000,Employed,158594.1,Personal Loan,In Arrears,Inside news if despite.; Wide share before property might.; Woman us follow yet head.; Author move according difference born item candidate.; If positive note child.; Care either official then senior send.; Resource television break fight.; Always message billion age soldier staff when administration.,Neutral; Negative; Positive; Positive; Neutral; Negative; Positive; Neutral,"3651.01, 2024-04-05, Partial Payment; 1712.29, 2023-02-04, Minimum Payment; 1283.93, 2023-02-05, Minimum Payment; 1676.2, 2023-07-21, Partial Payment; 1518.71, 2021-09-19, Full Payment","Foreclosure, Unemployment, Bankruptcy",Phone,Casual
Edith Brock,edithbrock@example.com,947-504-1289x616,35,75000-100000,Unemployed,2681.94,Credit Card,Defaulted,Movement score a hotel until imagine.; Hard among first hot yourself.; Bar speak sure movie fear.; Whole more perhaps medical group song.; Moment month dinner daughter answer speech professional.; Fund perform administration.,Negative; Positive; Neutral; Negative; Negative; Negative,"1108.08, 2022-09-15, Minimum Payment; 2366.85, 2021-06-21, Full Payment; 2515.75, 2024-03-27, Minimum Payment; 517.05, 2023-06-16, Partial Payment; 767.99, 2022-09-05, Minimum Payment; 815.12, 2024-01-29, Minimum Payment; 2231.36, 2022-11-08, Minimum Payment; 1379.7, 2021-05-19, Full Payment; 1108.4, 2023-10-29, Full Payment","Bankruptcy, Divorce, Foreclosure, Medical Emergency, Unemployment",Phone,Casual
Michelle Cooper,michellecooper@example.com,3563806477,35,25000-50000,Unemployed,55671.69,Personal Loan,Defaulted,Perform throw prepare manage strategy police.,Positive,"3873.06, 2022-03-14, Minimum Payment; 746.55, 2022-02-01, Minimum Payment; 4915.54, 2022-01-27, Partial Payment; 561.35, 2023-08-10, Minimum Payment; 1260.52, 2022-11-19, Partial Payment; 1374.66, 2022-09-01, Full Payment; 3136.98, 2021-07-10, Full Payment; 4431.03, 2024-04-06, Minimum Payment; 3602.51, 2023-10-26, Partial Payment; 4687.54, 2022-04-17, Partial Payment; 426.44, 2023-12-10, Full Payment; 1539.74, 2022-03-17, Partial Payment; 4672.27, 2022-11-24, Minimum Payment; 4751.52, 2023-10-10, Minimum Payment; 4992.88, 2023-03-25, Full Payment; 1766.96, 2022-09-16, Partial Payment; 1089.7, 2024-03-19, Partial Payment","Bankruptcy, Foreclosure, Unemployment",Phone,Formal
Beatrice Burns,beatriceburns@example.com,001-800-566-8257x735,49,75000-100000,Employed,69585.5,Credit Card,In Arrears,Media sister yourself together let where song.; Might dream name cell standard wait.; Instead himself low join edge choose.; Go upon good would.; Drive manager dog design fact.; Television modern opportunity different produce.; Ever himself over instead education green.; Until leave food hour some yet different.; Both site create evidence economy term.,Neutral; Neutral; Positive; Positive; Negative; Negative; Positive; Neutral; Positive,"3860.49, 2024-01-25, Partial Payment; 1281.1, 2024-03-28, Minimum Payment; 4214.5, 2023-01-15, Partial Payment; 4213.78, 2023-06-13, Partial Payment; 3455.89, 2023-09-24, Partial Payment; 3318.98, 2023-03-11, Minimum Payment; 3372.98, 2021-09-13, Minimum Payment; 3977.39, 2022-09-28, Full Payment; 1415.18, 2024-01-18, Partial Payment; 3525.08, 2021-09-24, Partial Payment; 4366.88, 2022-12-16, Partial Payment; 4237.84, 2023-01-05, Minimum Payment; 1113.41, 2023-02-06, Partial Payment; 791.22, 2023-06-22, Partial Payment; 4193.9, 2023-01-05, Full Payment; 4776.07, 2022-02-22, Minimum Payment",,Phone,Casual
Mary Marcus,marymarcus@example.com,824.344.5174x94239,41,75000-100000,Self-Employed,164101.49,Mortgage,Defaulted,Home paper national.; Dream never tend cost step long common upon.; Heart cultural trade city whatever.; Mention section in.; Loss question thus imagine.; Section behind rest reason future draw commercial.; Long race customer soon.,Neutral; Neutral; Positive; Negative; Positive; Negative; Neutral,"86.58, 2022-03-12, Minimum Payment; 3341.95, 2024-01-11, Minimum Payment; 312.91, 2023-03-02, Minimum Payment; 2911.12, 2022-09-08, Partial Payment; 178.32, 2022-10-05, Full Payment; 816.72, 2024-01-05, Full Payment; 4875.76, 2022-07-19, Full Payment; 1580.77, 2023-10-16, Partial Payment; 1800.34, 2021-07-04, Full Payment; 3867.38, 2022-04-23, Partial Payment; 1188.13, 2021-06-12, Minimum Payment; 4925.68, 2022-04-29, Partial Payment","Bankruptcy, Unemployment, Divorce, Foreclosure, Medical Emergency",Phone,Casual
Danial Dominguez,danialdominguez@example.com,(532)385-5194,68,100000-150000,Retired,192301.3,Medical Bills,Defaulted,Our early now local effect fire several.; Campaign through right future him military.; Decision anything beautiful accept three scientist.; Decide single toward Mrs.; Yourself represent guy budget game give present.; Road way could ever most board physical.; Especially accept worry decision talk science never crime.; Nothing general citizen find law question.; Great politics use report.; Agent particularly none apply strategy poor wear.,Negative; Positive; Negative; Positive; Neutral; Positive; Positive; Negative; Negative; Positive,"3435.41, 2021-09-23, Minimum Payment; 2954.77, 2023-05-12, Minimum Payment; 285.1, 2023-05-26, Full Payment; 1592.72, 2023-02-05, Minimum Payment; 1220.32, 2023-04-25, Minimum Payment; 2255.57, 2023-11-03, Minimum Payment; 3643.65, 2021-11-13, Minimum Payment; 191.21, 2024-03-17, Full Payment; 4351.91, 2022-07-26, Partial Payment; 3687.22, 2024-02-04, Minimum Payment; 1999.65, 2023-03-24, Minimum Payment; 1002.95, 2022-02-12, Partial Payment; 4807.32, 2021-07-25, Minimum Payment; 164.26, 2022-11-30, Full Payment; 2803.2, 2021-12-19, Minimum Payment; 345.11, 2021-10-23, Partial Payment; 177.71, 2022-05-13, Full Payment","Unemployment, Bankruptcy, Medical Emergency, Foreclosure, Divorce",Phone,Formal
Gregory Klein,gregoryklein@example.com,963.818.0169x31341,43,75000-100000,Employed,182011.02,Medical Bills,Defaulted,Control leave skin.,Negative,"212.61, 2024-01-13, Minimum Payment; 3705.85, 2021-12-03, Minimum Payment; 2450.98, 2022-07-12, Minimum Payment; 3438.0, 2023-01-18, Partial Payment; 3621.66, 2023-04-15, Partial Payment; 3338.55, 2022-08-10, Full Payment; 3709.51, 2023-07-16, Partial Payment; 1959.35, 2023-06-07, Full Payment; 370.07, 2022-09-16, Full Payment; 1928.13, 2023-04-21, Full Payment; 3352.32, 2023-03-03, Minimum Payment; 839.79, 2022-08-26, Partial Payment","Unemployment, Bankruptcy, Medical Emergency",Mail,Casual
Barbara Mandeville,barbaramandeville@example.com,(201)601-7799x0038,62,50000-75000,Retired,133119.58,Mortgage,Defaulted,Chance get spend hear do.; And new glass stage reduce avoid difficult beautiful.,Positive; Positive,"681.06, 2022-12-25, Full Payment; 3588.42, 2024-04-30, Minimum Payment; 2420.25, 2024-01-07, Partial Payment; 2258.43, 2022-11-26, Full Payment; 4984.41, 2022-06-26, Minimum Payment; 4022.36, 2022-10-05, Minimum Payment; 1442.34, 2022-11-11, Minimum Payment; 3745.28, 2021-11-17, Full Payment; 4443.16, 2021-07-29, Full Payment; 4300.07, 2022-10-25, Minimum Payment; 1835.94, 2024-04-15, Minimum Payment; 164.93, 2023-06-10, Partial Payment; 1777.76, 2021-07-05, Minimum Payment; 3889.32, 2024-03-07, Full Payment; 1229.63, 2024-04-10, Minimum Payment; 171.84, 2022-06-07, Partial Payment; 1024.77, 2021-09-21, Minimum Payment; 1202.42, 2023-09-11, Full Payment; 3609.92, 2023-06-19, Full Payment","Unemployment, Medical Emergency, Divorce",Text,Casual
Dina Lewis,dinalewis@example.com,826.509.3291x55268,32,50000-75000,Retired,127128.44,Personal Loan,Defaulted,Book front knowledge speak easy son crime may.,Negative,"887.1, 2023-06-25, Minimum Payment",,Mail,Formal
Duane Briski,duanebriski@example.com,827.938.4688x08624,28,150000+,Unemployed,110669.98,Credit Card,In Arrears,Stay bill let tree.; Dark city forget between.; Trip white still peace kitchen.; Me generation bill unit career.; Identify pass pay three Democrat truth.; Station increase also structure environmental course.,Positive; Negative; Positive; Positive; Positive; Positive,"3400.2, 2023-10-10, Full Payment; 1199.95, 2023-11-16, Minimum Payment; 2669.73, 2021-10-12, Partial Payment; 2861.13, 2021-07-20, Full Payment",,Mail,Formal
David Sugarman,davidsugarman@example.com,+1-285-666-8093x3661,41,100000-150000,Unemployed,2605.42,Medical Bills,In Arrears,Born blood radio down reality above.; Purpose entire recently participant threat.; Father new two consumer.; Must term company music him.; Charge give play role play once.,Neutral; Positive; Positive; Neutral; Positive,"4754.4, 2023-02-20, Full Payment; 4445.93, 2022-12-07, Full Payment; 1190.98, 2021-12-18, Minimum Payment; 1900.9, 2023-11-09, Partial Payment; 950.85, 2022-04-25, Partial Payment; 4880.58, 2022-04-06, Partial Payment; 2153.11, 2021-09-22, Partial Payment; 742.36, 2023-07-30, Full Payment; 3938.12, 2022-04-24, Minimum Payment; 3515.81, 2023-07-06, Partial Payment; 4017.73, 2022-01-05, Full Payment; 1025.86, 2021-10-20, Partial Payment; 4329.82, 2022-06-21, Minimum Payment; 3699.37, 2024-04-01, Partial Payment; 1514.92, 2021-05-08, Full Payment",,Text,Formal
